Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","C238097","BAT_3000",101.880000,-121.943800,180.000000,bottom
"C11","1u","C_0402_1005Metric",92.100000,-112.213800,90.000000,bottom
"C15","1u","C_0402_1005Metric",83.400000,-96.063800,90.000000,bottom
"C22","1u","C_0402_1005Metric",83.470000,-109.993800,180.000000,bottom
"C23","4.7u","C_0402_1005Metric",88.300000,-112.313800,-90.000000,bottom
"D2","16-213/BHC-AN1P2/3T","D_0402_1005Metric",89.400000,-96.243800,-90.000000,bottom
"J3","Molex 5033981892","CONN_503398-1892_MOL",101.345000,-97.076901,180.000000,bottom
"R2","10k","R_0402_1005Metric",97.600000,-105.443800,180.000000,bottom
"R3","10k","R_0402_1005Metric",96.500000,-106.543800,0.000000,bottom
"R4","10k","R_0402_1005Metric",109.350000,-99.393800,90.000000,bottom
"R5","10k","R_0402_1005Metric",103.940000,-105.443800,0.000000,bottom
"R6","10k","R_0402_1005Metric",101.800000,-105.443800,180.000000,bottom
"R11","10k","R_0402_1005Metric",81.050000,-125.293800,0.000000,bottom
"R12","150R","R_0402_1005Metric",89.050000,-117.418800,0.000000,bottom
"R13","150R","R_0402_1005Metric",89.400000,-98.343800,90.000000,bottom
"R15","150R","R_0402_1005Metric",89.050000,-116.243800,0.000000,bottom
"R23","100k","R_0402_1005Metric",93.750000,-112.493800,180.000000,bottom
"R24","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.600000,-106.593800,180.000000,bottom
"R25","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.600000,-108.843800,180.000000,bottom
"R28","49.9k","R_0402_1005Metric",81.410000,-117.243800,180.000000,bottom
"R29","10k","R_0402_1005Metric",99.690000,-105.443800,0.000000,bottom
"U1","AP2111H-3.3TRG1","SOT-223",88.250000,-106.843800,90.000000,bottom
"U6","TLV74328PDBVR","SOT-23-5",93.050000,-115.743800,-90.000000,bottom
