Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",88.650000,-91.893800,-90.000000,top
"C2","10u","C_0402_1005Metric",87.350000,-91.893800,-90.000000,top
"C3","1u","C_0402_1005Metric",93.150000,-125.643800,-90.000000,top
"C4","4.7u","C_0402_1005Metric",94.300000,-127.023800,-90.000000,top
"C5","100n","C_0402_1005Metric",95.400000,-127.063800,90.000000,top
"C6","100n","C_0402_1005Metric",86.300000,-94.043800,90.000000,top
"C7","4.7u","C_0402_1005Metric",93.350000,-114.593800,90.000000,top
"C8","4.7u","C_0402_1005Metric",94.500000,-114.563800,90.000000,top
"C9","1u","C_0402_1005Metric",91.250000,-116.993800,-90.000000,top
"C10","1u","C_0402_1005Metric",87.100000,-125.943800,0.000000,top
"C12","100n","C_0402_1005Metric",92.100000,-114.543800,-90.000000,top
"C13","100n","C_0402_1005Metric",78.820000,-96.343800,0.000000,top
"C14","100n","C_0402_1005Metric",82.750000,-91.193800,-90.000000,top
"C26","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",80.387500,-117.356300,90.000000,top
"C27","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",86.837500,-112.656300,0.000000,top
"C28","10u","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",86.950000,-121.193800,0.000000,top
"D15","16-213/BHC-AN1P2/3T","D_0402_1005Metric",89.050000,-117.443800,0.000000,top
"D16","16-213SURC/S530-A4/TR8","D_0402_1005Metric",89.050000,-116.243800,0.000000,top
"J2","XF2M-2415-1A BY OMZ","OMRON_XF2M-2415-1A",99.900000,-121.743800,180.000000,top
"J4","Conn_01x03_Pin","JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal",81.800000,-125.193800,0.000000,top
"R1","10k","R_0402_1005Metric",95.650000,-114.593800,90.000000,top
"R7","10k","R_0402_1005Metric",100.250000,-125.793800,0.000000,top
"R8","3.3k","R_0402_1005Metric",86.200000,-100.393800,90.000000,top
"R9","3.3k","R_0402_1005Metric",86.700000,-98.793800,180.000000,top
"R10","3.3k","R_0402_1005Metric",86.050000,-103.093800,-90.000000,top
"R14","3.3k","R_0402_1005Metric",110.150000,-91.743800,90.000000,top
"R16","100k","R_0402_1005Metric",87.150000,-127.093800,180.000000,top
"R17","100k","R_0402_1005Metric",85.150000,-92.943800,-90.000000,top
"R18","10k","R_0402_1005Metric",108.050000,-111.193800,180.000000,top
"R19","10k","R_0402_1005Metric",87.350000,-109.843800,0.000000,top
"R20","20k","R_0402_1005Metric",89.100000,-109.943800,-90.000000,top
"R21","10k","R_0402_1005Metric",78.050000,-122.693800,90.000000,top
"R22","24.9k","R_0402_1005Metric",78.550000,-120.993800,0.000000,top
"R26","750","R_0402_1005Metric",82.787500,-120.516300,90.000000,top
"R27","1.62k","R_0402_1005Metric",82.937500,-113.756300,0.000000,top
"R30","3.3k","R_0402_1005Metric",110.300000,-93.993800,-90.000000,top
"R31","10k","R_0402_1005Metric",82.750000,-93.593800,90.000000,top
"R32","10k","R_0402_1005Metric",78.900000,-95.193800,0.000000,top
"S1","C913778","SW_EVPBB4A9B000",88.050000,-94.943800,90.000000,top
"S2","C913778","SW_EVPBB4A9B000",106.650000,-113.143800,180.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",99.765000,-96.343800,0.000000,top
"U3","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",82.715000,-98.618800,90.000000,top
"U4","LSM6DSM","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",80.150000,-92.781300,180.000000,top
"U5","LP5907MFX-1.5","SOT-23-5",90.287500,-126.143800,0.000000,top
"U9","Molex 217179-0001","MOLEX_2171790001",79.525000,-107.643800,-90.000000,top
"U10","USBLC6-2SC6","SOT-23-6",86.862500,-107.093800,0.000000,top
"U11","BQ24074RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",84.950000,-117.156300,90.000000,top
