"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R18,R1,R31,R32,R21,R7,R19,R4,R11,R5,R6,R29,R2,R3";"R_0402_1005Metric";14;"10k";;;
2;"R22";"R_0402_1005Metric";1;"24.9k";;;
3;"C5,C14,C6,C12,C1,C13";"C_0402_1005Metric";6;"100n";;;
4;"C9,C3,C10,C22,C15,C11";"C_0402_1005Metric";6;"1u";;;
5;"R10,R9,R14,R30,R8";"R_0402_1005Metric";5;"3.3k";;;
6;"U11";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24074RGT";;;
7;"C4,C7,C8,C23";"C_0402_1005Metric";4;"4.7u";;;
8;"R16,R17,R23";"R_0402_1005Metric";3;"100k";;;
9;"C27,C26,C28";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";3;"10u";;;
10;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"DS3231MZ";;;
11;"R27";"R_0402_1005Metric";1;"1.62k";;;
12;"S1,S2";"SW_EVPBB4A9B000";2;"C913778";;;
13;"U4";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DSM";;;
14;"J2";"OMRON_XF2M-2415-1A";1;"XF2M-2415-1A BY OMZ";;;
15;"U9";"MOLEX_2171790001";1;"Molex 217179-0001";;;
16;"TP1,TP2";"TestPoint_Pad_1.0x1.0mm";2;"TestPoint_Small";;;
17;"D16";"D_0402_1005Metric";1;"16-213SURC/S530-A4/TR8";;;
18;"R26";"R_0402_1005Metric";1;"750";;;
19;"D15,D2";"D_0402_1005Metric";2;"16-213/BHC-AN1P2/3T";;;
20;"U2";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
21;"U5";"SOT-23-5";1;"LP5907MFX-1.5";;;
22;"U10";"SOT-23-6";1;"USBLC6-2SC6";;;
23;"J4";"JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal";1;"Conn_01x03_Pin";;;
24;"R20";"R_0402_1005Metric";1;"20k";;;
25;"C2";"C_0402_1005Metric";1;"10u";;;
26;"R25,R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
27;"U1";"SOT-223";1;"AP2111H-3.3TRG1";;;
28;"R12,R15,R13";"R_0402_1005Metric";3;"150R";;;
29;"U6";"SOT-23-5";1;"TLV74328PDBVR";;;
30;"BT1";"BAT_3000";1;"C238097";;;
31;"R28";"R_0402_1005Metric";1;"49.9k";;;
32;"J3";"CONN_503398-1892_MOL";1;"Molex 5033981892";;;
